,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bulgarian,Catalan,Cebuano,Chinese,Croatian,Czech,Danish,Dutch,English,Esperanto,Estonian,Finnish,French,Galician,Georgian,German,Greek,Gujarati,Haitian,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kirghiz,Kurdish (Kurmanji),Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Marathi,Mongolian,Nepali,Norwegian (Bokmål),Pashto,Persian,Polish,Portuguese,Romanian,Russian,Scottish Gaelic,Serbian,Sindhi,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Welsh,Yiddish,Yoruba
Gujarati,0.146347362,0.333731864,0.246670153,0.102956031,0.034892331,0.196143479,0.174100496,0.422309105,0.271601382,0.218518135,0.421892586,-0.246515679,0.155439877,-0.065666451,0.323831064,0.247903267,0.232206587,0.356683549,0.091992774,0.290432924,0.249567864,0.26442571,0.254950808,0.054979445,0.063719694,0.39590661,1,0.102525853,0.259092205,0.3000167,0.404369875,0.370638745,0.274321283,0.40718554,0.422488314,-0.029006174,0.233473483,0.20570155,0.314020218,0.059123344,0.072870785,0.010697352,0.267140775,0.308351572,0.205890525,0.195239205,0.201956976,0.07056616,0.164652582,0.225204921,0.166083989,-0.029078263,0.160871604,0.216216216,0.192616311,0.100402921,0.349460069,0.385240784,0.267340901,0.387876839,-0.019899208,0.354531921,0.110319238,0.309705686,0.061681898,0.083968889,0.352260512,-0.033849217,0.130731056,0.06952304,0.008513281,0.02955175,0.148097894,0.53393397,0.298444526,0.491514815,0.322140926,-0.117131334,0.160226886,-0.080072598,-0.060854303
Haitian,0.10840742,0.192101382,0.202251349,-0.13441352,-0.170497552,-0.143552935,0.083749476,0.243469242,0.106319631,0.011962745,-0.002432736,-0.068360355,-0.043542158,0.180519481,0.16727549,0.114565966,0.083498895,0.123324255,-0.010243147,-0.074190366,0.007800518,-0.099335136,0.052620445,-0.084283126,0.013018228,-0.089549943,0.102525853,1,-0.099416765,0.156209698,0.136035536,0.1904913,-0.009879224,0.062743837,0.031275864,0.099905008,0.211422127,-0.127775554,-0.083064296,-0.083670819,-0.208368516,0.170655033,0.052342446,-0.026309875,-0.027332172,0.038535083,0.03937148,-0.308777611,-0.09517864,-0.02979878,0.07681791,0.093562628,-0.074667391,0.08188553,-0.188783987,-0.212836459,0.010392064,-0.242948843,0.044390686,0.007475198,0.112199602,-0.128147788,-0.17204214,-0.032761014,0.069519843,-0.315608513,-0.158370024,-0.014120668,0.293481045,0.197065689,-0.070029224,0.058207665,0.078058221,0.141904601,0.115276851,0.065900025,-0.1547492,-0.011043654,-0.173073183,0.00370062,0.062777972
Hebrew,0.163752548,0.235972263,0.031995968,0.156863493,0.156621589,-0.082773656,0.210806433,0.327495286,0.222273214,0.281123138,0.355433519,-0.037599773,0.14599694,-0.120769231,0.355334977,0.239490352,0.332440669,0.167425361,0.190779904,0.123161985,0.119259878,0.269020242,0.351902257,0.113500816,0.238199441,0.204812359,0.259092205,-0.099416765,1,0.199445329,0.280561892,0.275259314,0.345387117,0.292841672,0.199650053,-0.112671215,0.053669909,0.185339513,0.148688706,0.114118021,0.154869382,0.127131263,0.203380919,0.285711287,0.474042507,0.146369193,-0.198426898,0.101613186,0.146135187,0.332947132,0.054234399,0.17310109,0.011495635,0.150080813,0.054263714,-0.015843035,0.188222206,0.346816244,0.252173528,0.22345348,0.254803688,0.033447543,-0.13099486,0.369847158,0.203203291,0.155954538,0.227038145,-0.071092407,0.044470329,0.082229055,0.067741438,0.094433639,0.192014048,0.397368266,0.203674842,0.461180589,0.071602284,0.173462372,0.135778369,0.087251306,-0.294801074
Hindi,0.169379009,0.297169084,0.214685468,0.442834981,0.158830642,0.212278107,0.171332587,0.438347881,0.336908618,0.227873,0.326110187,-0.123230264,0.194781053,-0.263404999,0.32445845,0.158759666,0.174706452,0.384958068,0.199921507,0.24856388,0.06339511,0.34603396,0.274245969,0.286238001,0.08620984,0.20216663,0.3000167,0.156209698,0.199445329,1,0.372513063,0.396448032,0.265717055,0.207026192,0.271361144,-0.208854606,0.291255937,0.205226089,-0.045617052,0.123527497,0.26513219,0.021587615,0.117447413,0.150342122,0.166085446,0.414297668,-0.154804271,-0.027000701,0.43020474,0.238109526,0.20893092,0.369297375,0.252643455,0.186309113,0.253677868,0.234937104,0.353512291,0.371940385,0.145959164,0.185140393,0.413651286,0.267322261,-0.057197743,0.198520767,0.217987837,-0.024693223,0.2646778,0.282403173,-0.030598752,0.151105853,0.330637251,0.274240255,0.285403574,0.256146222,0.264652103,0.364321162,0.276313636,0.223304621,0.457964039,0.026390776,0.032947463
Hungarian,0.21271216,0.25049106,0.102874559,-0.084952804,0.24298835,0.118975026,0.104078677,0.481516752,0.253785791,0.364515456,0.243347733,-0.141045489,0.574213244,0.126837607,0.37783433,0.36781246,0.331614973,0.555866618,0.23678602,0.540305306,0.569293311,0.380558638,0.247326384,0.309731588,0.07634629,0.39784631,0.404369875,0.136035536,0.280561892,0.372513063,1,0.493977545,0.459421953,0.384528004,0.636581764,-0.072597816,0.22411946,0.1578768,0.320014432,0.215280718,0.172878828,-0.093629921,0.406462853,0.337674097,0.132265225,0.299094187,-0.063656079,-0.079207921,0.365850458,0.320432602,0.022945176,0.285395389,0.189871568,0.478264438,-0.161787254,0.164959171,0.395946475,0.321170906,0.240848952,0.496719138,0.207234237,0.109254536,-0.128826303,0.36206336,0.10039641,0.015665957,0.227878846,-0.026284308,-0.136759479,0.311790282,0.16100007,0.338266861,0.235905104,0.639523431,0.419948192,0.410477004,0.327547813,0.240110223,0.305055046,0.006432643,-0.136144193
Icelandic,0.181618447,0.307470333,0.085008664,0.180640795,0.211977919,0.24270953,0.175122337,0.311475482,0.203604849,0.325685226,0.191554078,0.044693706,0.305881576,0.177435897,0.349434484,0.324218003,0.461780028,0.482335347,0.108752603,0.513296676,0.438764548,0.368538079,0.19480006,0.349850774,0.092390634,0.423704347,0.370638745,0.1904913,0.275259314,0.396448032,0.493977545,1,0.306194125,0.308804558,0.480500174,-0.051020302,0.282929745,0.203550541,0.178672717,0.213610263,0.141076466,0.037581403,0.192604817,0.211043512,0.135837351,0.345409774,0.021926559,-0.093138265,0.354037367,0.247461748,0.1148902,0.255355921,0.102570384,0.307436871,0.101318198,0.208239713,0.415012428,0.35669423,0.338245642,0.40857477,0.180388296,0.204408984,0.087642662,0.356555454,0.051725552,-0.032300862,0.273686645,0.091276861,0.146124874,0.277262516,0.181576295,0.310696627,0.289389306,0.470212966,0.34698602,0.400594175,0.345870083,0.123851256,0.427598706,0.042747091,0.207920795
Indonesian,0.056119632,0.19170182,0.110394323,-0.068503189,0.444404534,0.33317688,0.279605618,0.295672212,0.298418081,0.358549318,0.308640797,0.02348297,0.555063085,0.227996115,0.297609162,0.484734704,0.226355618,0.512368301,0.131226254,0.558906112,0.342382966,0.287428166,0.308755321,0.210241056,0.179953306,0.198193454,0.274321283,-0.009879224,0.345387117,0.265717055,0.459421953,0.306194125,1,0.289919685,0.581820158,-0.119792201,0.281241737,0.474230958,0.218671762,0.089754817,-0.040738653,0.213269206,0.369261789,0.320242788,0.4081726,0.245111956,0.420953245,0.241246821,0.234944289,0.266282066,-0.048221644,0.357642268,0.090368378,0.442974448,0.000986923,0.259655453,0.070050199,0.427692043,0.225209691,0.314087394,0.027240435,0.235706399,-0.145210174,0.419414073,0.261370271,-0.118331131,0.297216045,0.298797032,0.120113107,0.270775283,0.074251098,0.04177866,0.292663955,0.612959401,0.342636701,0.326323622,0.100151526,0.166968455,0.075427506,-0.100534702,-0.175645597
Italian,0.197398897,0.275356843,0.120518339,0.200713013,0.022600312,0.246556556,0.186336189,0.338158891,0.324248191,0.416815514,0.535876252,-0.220494746,0.263688614,-0.007863248,0.398326509,0.369959826,0.323267916,0.403249691,0.197836355,0.330562049,0.42763009,0.403365562,0.426147788,0.127221683,0.308598687,0.100775876,0.40718554,0.062743837,0.292841672,0.207026192,0.384528004,0.308804558,0.289919685,1,0.389971545,-0.007176632,0.259034559,0.189669967,0.347393501,-0.031155961,0.017647458,0.063397532,0.278275572,0.34291381,0.216328673,0.281728073,-0.094381508,0.054823153,0.163264527,0.197910006,0.255853652,0.225908636,0.158229351,0.306435415,0.136425131,0.063023686,0.273123478,0.560761283,0.350378159,0.383736326,0.229011872,0.117159636,-0.038420606,0.444591046,0.076970492,0.274447616,0.587837596,0.009225374,0.207824867,0.19731237,0.16383271,0.161039614,0.322107364,0.500398706,0.13507352,0.480614574,0.359192174,-0.074435071,0.287547014,0.107857266,-0.006935202
Japanese,0.34423355,0.266277043,0.204369657,0.090243902,0.39230241,0.379718714,0.364431722,0.469629151,0.243404679,0.446526079,0.369744566,-0.300433513,0.498063913,0.2783738,0.393927742,0.626736999,0.419622671,0.62916142,0.294270553,0.539311169,0.671242202,0.373641397,0.140069002,0.268533956,0.235665439,0.373128717,0.422488314,0.031275864,0.199650053,0.271361144,0.636581764,0.480500174,0.581820158,0.389971545,1,-0.184650081,0.094099623,0.254699569,0.59702399,0.14328624,0.02444801,0.049805705,0.471852212,0.483632133,-0.039678663,0.229141705,0.096846052,0.027954946,0.215322821,0.080726103,0.194411834,0.211859637,0.228754445,0.495326485,-0.003854812,0.381809888,0.316081709,0.398193817,0.414334051,0.399977129,0.181825046,0.251415036,-0.054130119,0.358057163,0.106597093,-0.132355637,0.293089554,0.077415531,0.078543854,0.485418548,0.247980632,0.064713203,0.145439736,0.727425516,0.573923082,0.456793921,0.350644673,-0.048742411,0.345761856,-0.062233499,0.352534003
Javanese,0.030329072,-0.077387998,-0.090273158,-0.089740031,-0.036364775,-0.113339334,-0.153233584,-0.207154459,-0.350492672,-0.108717277,0.026595134,-0.293358135,-0.052630916,-0.07518797,0.102448672,0.03791339,0.127954761,0.011752851,-0.038580189,-0.057300203,0.095676213,0.070735922,-0.149185341,0.147758776,-0.037909547,-0.123773654,-0.029006174,0.099905008,-0.112671215,-0.208854606,-0.072597816,-0.051020302,-0.119792201,-0.007176632,-0.184650081,1,0.035930731,0.015098231,-0.016653303,-0.170361373,-0.382006881,0.285908474,0.10773105,-0.090994489,0.237197641,0.019440947,-0.058379277,0.144052452,-0.247994685,-0.095141504,-0.212285931,-0.167209702,-0.324199063,-0.14992485,-0.183115608,-0.100251582,-0.058951236,-0.030968833,-0.051720035,0.086301767,-0.080126358,-0.115210138,-0.049398705,-0.045462729,-0.244220599,-0.110897406,0.076791399,-0.046849171,-0.099312261,0.097927161,-0.073357494,-0.001290167,-0.074166482,-0.018967853,-0.004495214,0.028130475,-0.188377899,-0.190864047,-0.3108176,0.036786653,0.263071458
Kannada,-0.021422175,0.275181724,0.248496048,0.163404358,0.228213504,0.355417003,0.044798568,0.254285267,0.287543706,-0.07947538,0.114125307,-0.092753623,0.238414217,0.04,0.176402545,0.388863695,0.101987266,0.37156587,-0.063161354,0.311881158,0.260724566,0.233431486,0.117540379,0.230747697,-0.023774146,0.134972932,0.233473483,0.211422127,0.053669909,0.291255937,0.22411946,0.282929745,0.281241737,0.259034559,0.094099623,0.035930731,1,0.372756311,-0.068702752,0.133399118,-0.031452581,0.213970541,0.367712698,0.06022432,0.090014095,0.23868237,0.275253238,-0.0068485,0.369783921,0.095240946,0.18638304,-0.058159083,-0.042373286,0.276523104,0.26473279,0.147835798,-0.015743949,0.202644888,0.090708545,0.224896149,0.174210851,0.133911807,0.045675745,0.198459299,0.119754749,-0.129641051,0.266343708,0.167162241,-0.137032473,0.234159727,0.043042737,0.246689104,0.346480571,0.209827515,0.066516601,0.166126065,0.13658282,0.179249215,0.140030213,-0.020297154,0.218136238
Kazakh,0.085692878,0.324648814,0.084162326,0.161513763,0.400284563,0.30284348,0.071178256,0.140180109,0.206117356,0.243143139,0.197532611,-0.458187035,0.325748307,0.066153846,0.237436928,0.363411549,0.043801936,0.356437749,0.166770731,0.274149217,0.28476992,0.135014867,0.149419618,0.281662177,0.157660277,0.161321193,0.20570155,-0.127775554,0.185339513,0.205226089,0.1578768,0.203550541,0.474230958,0.189669967,0.254699569,0.015098231,0.372756311,1,0.169381845,0.163349101,0.199332517,0.145233723,0.402142622,0.334899162,0.270247376,0.237801662,0.186726387,0.144745888,0.234946613,-0.102226351,-0.039087372,0.215164937,-0.050081416,0.310272582,0.187257608,0.342337027,0.066419748,0.159975157,0.269225298,0.215169241,0.034450908,0.197458586,0.070749137,0.339950825,0.280534918,0.184666626,0.183741689,-0.049990395,0.06117128,0.253864998,0.219878283,0.007146135,0.092440352,0.4529249,0.28771238,0.235178977,0.14518469,0.078391839,0.146895977,-0.07348292,0.221560181
Khmer,0.37251015,0.126103786,0.096209032,0.097646292,0.132991913,0.223540964,0.140943143,0.423494606,0.085400405,0.439086349,0.353861113,-0.232811759,0.223593144,0.297058824,0.239507491,0.407014201,0.489609641,0.382349129,0.307428654,0.434315988,0.454721012,0.022455601,0.083232048,0.127284207,0.243173163,0.3014811,0.314020218,-0.083064296,0.148688706,-0.045617052,0.320014432,0.178672717,0.218671762,0.347393501,0.59702399,-0.016653303,-0.068702752,0.169381845,1,-0.126786461,0.138636805,-0.021821693,0.541008292,0.388934805,0.02117563,0.037510007,0.165838747,0.388263726,-0.009439498,0.167911882,-0.017499647,0.310286132,0.055967212,0.339519782,0.158515621,0.18006325,0.095048255,0.328428608,0.340219483,0.520759068,-0.124258796,0.200358328,0.100212573,0.399740775,0.132610273,0.111561091,0.208897172,0.018721128,0.294122672,0.287940832,0.110544355,0.128961369,-0.026533997,0.59342284,0.174552531,0.497684355,0.48393265,-0.134797012,0.301012033,-0.263469889,0.130898024
Kirghiz,0.081136244,0.316396602,0.020649863,0.042610711,0.262017589,0.185403322,-0.014570685,0.168690901,0.153316316,0.053685401,0.051932805,-0.300812106,0.0531136,-0.021428571,0.323208606,0.185468961,0.078621107,0.050939789,0.085083042,0.12164614,0.064570104,0.194388854,0.110933231,0.140695954,0.15081141,-0.034960288,0.059123344,-0.083670819,0.114118021,0.123527497,0.215280718,0.213610263,0.089754817,-0.031155961,0.14328624,-0.170361373,0.133399118,0.163349101,-0.126786461,1,0.127035202,0.200055018,0.076613006,0.071570364,-0.091863198,0.162224535,0.355990319,-0.257948258,0.353586829,0.195487412,0.131984705,0.128410184,-0.122116075,0.079869371,-0.085568034,0.07152191,0.251691291,0.13642045,-0.013254574,0.180300374,-0.004705367,0.210238187,-0.01524523,0.010053791,0.263865503,0.119627703,0.136209362,0.217893994,-0.271448345,-0.072230622,-0.001710005,0.238811756,-0.124485292,-0.056099153,0.010476298,0.09655409,-0.002944952,0.015893101,0.174337044,-0.031329082,0.092174567
Kurdish (Kurmanji),-0.060555129,0.082096025,0.138135175,0.070179598,0.00735944,0.152767094,0.064299263,0.174898613,0.14820517,0.126317912,-0.022186948,0.010630499,-0.063529412,0.114551084,0.020722464,-0.005926702,-0.075091959,0.10075188,0.156552565,0.117564193,0.063863242,-0.114215897,0.123580087,-0.039323046,0.15346874,0.343916944,0.072870785,-0.208368516,0.154869382,0.26513219,0.172878828,0.141076466,-0.040738653,0.017647458,0.02444801,-0.382006881,-0.031452581,0.199332517,0.138636805,0.127035202,1,-0.27599909,-0.045907465,0.15083192,-0.011133437,0.072086601,0.034188037,0.068392908,0.138266385,0.004611635,0.107811623,0.21849545,0.144826524,0.147330447,0.116746043,0.379894595,0.32123851,-0.007323629,0.040817368,0.154758134,-0.103962402,0.008054481,-0.139876719,0.015204652,0.090926554,0.215032084,0.087332749,0.01925171,0.018062146,0.039833891,0.073770492,-0.112984015,-0.168522301,-0.180769231,0.05239273,0.029113573,0.311205074,0.305588223,0.285878936,0.025175313,0.016960209
Latin,-0.104433961,0.303830647,0.103817165,0.257739182,0.077120045,-0.037943373,0.009481354,0.100201399,0.01074029,0.216202762,0.376829712,-0.006303845,0.20654642,0.260248232,0.301043155,0.242848606,0.258744786,0.054313422,0.232393315,0.017379032,0.122500001,0.279139232,0.306034397,0.096716527,0.256143368,0.094317848,0.010697352,0.170655033,0.127131263,0.021587615,-0.093629921,0.037581403,0.213269206,0.063397532,0.049805705,0.285908474,0.213970541,0.145233723,-0.021821693,0.200055018,-0.27599909,1,0.027923606,0.239435486,0.254336204,-0.042352439,0.540391377,0.035343428,-0.011411652,0.335068242,0.117514387,0.19160894,0.126651512,0.000604839,-0.102150921,0.054219098,0.010544567,0.224772112,0.046778571,0.138898229,0.342133097,0.05240649,0.092786099,0.079328822,0.112914847,-0.086569494,0.251245035,0.080178174,0.069107788,0.122064726,-0.383544169,0.096151137,0.009173431,0.237371665,-0.061439543,0.150706012,-0.153656359,-0.052152319,0.183996743,0.119640985,0.418128655
Latvian,0.454628073,0.243311668,0.155841602,0.022557122,0.237620967,0.25985138,0.200927467,0.503571483,0.125410302,0.447099342,0.289227853,-0.332110148,0.432877513,-0.053076923,0.387933522,0.574278728,0.381902305,0.536942955,0.249450928,0.399993925,0.578308984,0.213224564,0.257273656,0.149791663,0.288836991,0.338974934,0.267140775,0.052342446,0.203380919,0.117447413,0.406462853,0.192604817,0.369261789,0.278275572,0.471852212,0.10773105,0.367712698,0.402142622,0.541008292,0.076613006,-0.045907465,0.027923606,1,0.458190323,0.327871356,0.309936874,-0.04615738,0.227631433,0.171978188,0.203347127,0.090798691,-0.023258076,-0.039772001,0.486422576,0.062431228,0.216317434,0.077128944,0.364939194,0.426391831,0.487722805,0.053071772,0.129930344,0.114056484,0.347494805,0.275420906,-0.063095569,0.351769155,-0.204628678,0.045424214,0.4160942,0.15608593,0.140868728,0.092890199,0.442532517,0.224714786,0.556017338,0.386918225,0.006624662,0.345401892,-0.216522495,0.131361762
Lithuanian,0.357997028,0.456613509,0.138663846,-0.028580613,0.249586355,0.177104585,0.212077874,0.518829005,0.048765978,0.607153078,0.532292358,-0.224490425,0.454983117,0.022905983,0.474876361,0.425055358,0.409084954,0.425802303,0.382683844,0.309129349,0.36916248,0.253924085,0.465895544,0.079495816,0.555379594,0.375428103,0.308351572,-0.026309875,0.285711287,0.150342122,0.337674097,0.211043512,0.320242788,0.34291381,0.483632133,-0.090994489,0.06022432,0.334899162,0.388934805,0.071570364,0.15083192,0.239435486,0.458190323,1,0.287383975,0.277524388,0.02079506,0.283254728,0.119903755,0.175337047,0.049078746,0.035144355,0.062209702,0.567451564,0.084488195,0.109793927,0.248419309,0.389694198,0.379163186,0.437729908,-0.092672155,0.284012776,0.266238061,0.674001498,0.374339884,-0.125184307,0.360726684,-0.284024245,0.18672619,0.420443234,0.2014716,0.097952358,-0.027644935,0.488784355,0.168877956,0.527068914,0.279143856,0.07780261,0.252736642,-0.055702462,0.109623433
Luxembourgish,0.26864581,0.18011586,0.068511437,0.03966579,0.120344692,0.045151068,0.092965318,0.266910979,0.243715716,0.408963372,0.318773265,-0.297655454,0.202913299,-0.249350649,0.199299116,0.279772892,0.33645939,0.220986378,0.362721277,0.209296019,0.129396279,0.41346007,0.373872363,0.131319279,0.516626278,0.239735436,0.205890525,-0.027332172,0.474042507,0.166085446,0.132265225,0.135837351,0.4081726,0.216328673,-0.039678663,0.237197641,0.090014095,0.270247376,0.02117563,-0.091863198,-0.011133437,0.254336204,0.327871356,0.287383975,1,0.179691532,0.106287003,0.321799825,0.135345031,0.235724744,-0.061374137,0.009503338,-0.082437582,0.310381143,-0.010696424,-0.182918076,0.088045142,0.316749049,0.290258211,0.237139322,0.039568661,0.078738,-0.012821436,0.322747712,0.139028056,-0.10560013,0.29116641,-0.039522655,-0.03583751,0.266818136,-0.03197175,-0.001753442,0.153443421,0.307010948,0.110560357,0.341167551,0.104476368,0.097691765,0.08652332,0.000939895,-0.189327863
Macedonian,0.177456261,0.324466558,0.170304264,0.220684234,0.196586259,0.280421639,0.089980724,0.422472591,0.244712268,0.302772688,0.368434941,-0.041765481,0.205624467,-0.193846154,0.142630042,0.418672256,0.228542747,0.442914648,0.095840811,0.41241163,0.293525311,0.242597589,0.140893866,0.132278346,0.134921893,0.190726772,0.195239205,0.038535083,0.146369193,0.414297668,0.299094187,0.345409774,0.245111956,0.281728073,0.229141705,0.019440947,0.23868237,0.237801662,0.037510007,0.162224535,0.072086601,-0.042352439,0.309936874,0.277524388,0.179691532,1,0.043592737,-0.133955604,0.292254293,0.28095399,0.054355182,0.206650361,-0.052899917,0.422928242,-0.121945384,0.175978955,0.107701403,0.330116463,0.153649847,0.131912803,0.166328805,0.249767928,0.0050581,0.188356231,0.234531687,-0.219838678,0.210254817,0.110285364,0.190710577,0.237269267,0.243125154,0.008403668,0.316957025,0.244675861,0.179432705,0.389246822,0.252967897,-0.06073857,0.249470769,-0.193867387,0.09979106
Malagasy,-0.072020365,0.023859935,0.273414044,-0.070054667,0.182361086,0.174193715,-0.135833695,-0.002307212,0.077335551,0.058497788,0.114217099,0.019216556,0.279905545,0.461350041,-0.120980719,0.325500106,-0.087940061,0.077996303,-0.093729738,0.123120889,0.061644494,-0.024945711,-0.105610983,-0.104077364,0.080514686,0.181305089,0.201956976,0.03937148,-0.198426898,-0.154804271,-0.063656079,0.021926559,0.420953245,-0.094381508,0.096846052,-0.058379277,0.275253238,0.186726387,0.165838747,0.355990319,0.034188037,0.540391377,-0.04615738,0.02079506,0.106287003,0.043592737,1,0.23413062,0.026091784,0.046454929,-0.225217447,-0.100232865,0.11038255,0.197632258,0.132889122,0.017863368,-0.108774975,0.076392892,-0.089196527,-0.064654404,0.086558119,0.033985661,0.040192069,-0.092048703,0.060037764,0.060133835,0.11735436,0.40383037,0.217634849,0.149188612,-0.277939143,-0.115083028,0.091539957,0.17992133,-0.192926949,-0.194779683,-0.113249447,0.132560612,-0.207362213,-0.29430524,0.333333333
Malay,0.367523402,0.057558267,0.173141784,0.140068713,0.016168434,-0.017002935,-0.069292972,-0.011925696,-0.129943958,0.385985015,0.212606177,-0.186522498,0.100731563,-0.176623377,0.055898568,0.095134655,0.094072667,0.042287225,0.442282012,0.172909655,-0.059102981,0.048113928,0.095263072,-0.099903043,0.310289168,0.227224098,0.07056616,-0.308777611,0.101613186,-0.027000701,-0.079207921,-0.093138265,0.241246821,0.054823153,0.027954946,0.144052452,-0.0068485,0.144745888,0.388263726,-0.257948258,0.068392908,0.035343428,0.227631433,0.283254728,0.321799825,-0.133955604,0.23413062,1,-0.237825925,-0.083522348,-0.15967119,-0.195732356,-0.077346803,0.249683116,0.119646858,-0.07132238,-0.133524126,0.163358289,0.079285756,0.320074468,-0.345323741,0.11876016,0.242938202,0.273050092,0.22404675,0.220082771,0.172285299,-0.14149416,0.123078086,0.057593241,-0.181169341,-0.095240128,-0.086473683,0.136376135,-0.136450156,0.232441008,0.363072261,-0.135323383,0.084300711,-0.261496903,0.23555501
Malayalam,0.092750075,0.337200168,0.116304106,0.279734836,0.434053437,0.263740039,-0.025989208,0.292935567,0.453505183,-0.028261644,0.110733264,-0.043205575,0.337252357,0.079616036,0.036865181,0.233839855,0.060379447,0.319345296,-0.056776429,0.334156008,0.290495393,0.370464228,0.269454552,0.458994953,-0.07506102,0.294785096,0.164652582,-0.09517864,0.146135187,0.43020474,0.365850458,0.354037367,0.234944289,0.163264527,0.215322821,-0.247994685,0.369783921,0.234946613,-0.009439498,0.353586829,0.138266385,-0.011411652,0.171978188,0.119903755,0.135345031,0.292254293,0.026091784,-0.237825925,1,0.293653992,0.154289353,0.095159383,0.204315724,0.296323689,-0.053486583,0.32332442,0.172050403,0.274350677,0.087498753,0.163188182,0.142567776,0.235103256,0.142665066,0.139262128,0.183257661,-0.114172951,0.152119053,0.24456777,-0.170684267,0.145038104,0.287715682,0.397711368,0.239537577,0.374816165,0.151373355,0.086239929,0.318269231,0.452236919,0.355219409,0.11124592,-0.113082043
Maltese,0.108146282,0.043561116,0.28362611,0.127356112,0.111842105,0.00175601,0.288438214,0.268113559,0.343201146,0.105021601,0.33861245,0.011628346,0.115749283,0.132411067,0.193497544,0.132831554,0.372537355,0.206769033,0.227561161,0.178081832,0.192224821,0.153130862,0.409002476,0.121984272,0.083355934,0.142812774,0.225204921,-0.02979878,0.332947132,0.238109526,0.320432602,0.247461748,0.266282066,0.197910006,0.080726103,-0.095141504,0.095240946,-0.102226351,0.167911882,0.195487412,0.004611635,0.335068242,0.203347127,0.175337047,0.235724744,0.28095399,0.046454929,-0.083522348,0.293653992,1,-0.09121131,0.403491795,0.316833254,0.183539157,-0.082453522,-0.01483401,0.067239009,0.456856424,0.093458724,0.132482058,0.275130046,0.136247124,0.048199311,0.129453031,0.157650276,0.057301945,0.44043092,0.081156079,-0.012842055,0.030462093,-0.036518564,0.16192995,0.137323552,0.279165712,0.179955355,0.288754716,0.230307517,0.220895415,0.263702389,0.005159009,-0.349575691
Marathi,0.214528491,0.327432331,0.179034387,0.237198613,0.069036162,0.228353077,0.100731989,0.149934208,0.384542454,-0.058324383,0.128328252,-0.029659644,-0.060072406,-0.087826087,0.195496316,-0.041723629,0.07308113,0.170021742,0.000604678,0.101096407,0.098325315,0.16310255,0.269707574,0.018742951,-0.057324599,-0.119029635,0.166083989,0.07681791,0.054234399,0.20893092,0.022945176,0.1148902,-0.048221644,0.255853652,0.194411834,-0.212285931,0.18638304,-0.039087372,-0.017499647,0.131984705,0.107811623,0.117514387,0.090798691,0.049078746,-0.061374137,0.054355182,-0.225217447,-0.15967119,0.154289353,-0.09121131,1,-0.095369097,-0.020553201,-0.061584773,0.319159836,0.206732673,-0.070970837,0.303386221,-0.000699876,0.12814741,0.051580286,0.15886541,-0.112996521,0.022281627,-0.049731203,0.038335292,0.225130699,0.079596774,-0.074623866,-0.003527096,0.047361925,0.207942984,0.081435142,0.219319133,0.118668936,0.203893577,0.232852913,0.09937067,0.26454625,-0.057835058,0.093029774
Mongolian,-0.207845782,-0.052730398,0.180399607,0.166540007,0.139764618,0.185437969,0.27612939,0.138032638,0.214091322,0.132624403,0.059712428,0.184474774,0.146995439,0.09552464,0.06051601,0.036844569,0.321126438,0.294552806,0.165756603,0.305172059,0.140825462,0.120986454,0.101610706,0.377669404,0.077135302,-0.015589829,-0.029078263,0.093562628,0.17310109,0.369297375,0.285395389,0.255355921,0.357642268,0.225908636,0.211859637,-0.167209702,-0.058159083,0.215164937,0.310286132,0.128410184,0.21849545,0.19160894,-0.023258076,0.035144355,0.009503338,0.206650361,-0.100232865,-0.195732356,0.095159383,0.403491795,-0.095369097,1,0.248439586,0.08251388,-0.177918744,0.475153689,0.306137168,0.200957742,0.069409942,-0.022899149,0.287209439,0.045428103,-0.206991332,0.147803969,0.106731504,0.195991091,0.078663263,0.289864907,0.064385458,0.008761192,0.143911385,0.196593238,0.168472502,0.307521139,0.37433482,0.233815799,-0.004148571,0.276565889,0.318599516,0.162979972,-0.044244516
